aX,aY,aZ,gX,gY,gZ
-622.1,442.9,800.8,2318,2023,-444
-729.7,493.6,824.8,1525,2116,-581
-165.2,-864.6,1832.6,-812,-83,-352
-132.9,-967.7,2012.8,-1096,-231,-433
-110.5,-1029.8,2156.5,-1426,-358,-458
-103.0,-1063.8,2268.2,-1795,-382,-407
-112.7,-1059.9,2343.1,-2205,-340,-312
-112.1,-1027.5,2380.6,-2651,-220,-195
-114.8,-972.3,2393.2,-3108,46,-29
-144.4,-875.8,2381.9,-3554,519,194
-157.9,-766.2,2310.6,-3983,1005,344
-150.3,-640.3,2204.5,-4361,1098,308
-104.8,-532.5,2093.0,-4675,731,124
-78.7,-406.9,2026.7,-4918,164,-40
-48.4,-299.9,1996.5,-5152,-235,-101
-4.1,-196.3,1895.3,-5533,-208,53
52.6,-26.1,1715.9,-5977,160,403
47.5,201.9,1462.8,-6347,628,794
21.0,363.6,1187.9,-6515,897,992
-18.9,462.4,916.6,-6435,812,932
-61.2,508.6,662.3,-6178,509,641
-43.6,495.0,483.9,-5795,270,314
-33.3,415.4,471.5,-5410,202,97
-4.4,328.7,450.3,-5245,170,-43
8.2,319.0,375.9,-5254,103,-41
-24.0,319.9,256.0,-5289,17,-1
-44.4,363.2,74.8,-5275,30,48
-90.2,403.2,-73.3,-5047,167,100
-125.8,387.2,-211.9,-4706,398,80
-124.8,415.8,-357.6,-4382,720,35
-92.0,440.1,-542.5,-4015,1006,-33
-42.5,383.7,-727.5,-3671,1130,-176
27.2,277.8,-952.6,-3475,995,-375
130.7,258.3,-1220.1,-3383,589,-534
222.5,319.0,-1524.6,-3347,-16,-636
235.1,450.5,-1964.6,-3331,-558,-597
210.0,685.6,-2620.1,-3188,-733,-367
182.1,958.4,-3279.5,-2694,-462,-45
166.7,1237.1,-3755.2,-1760,-1,216
67.5,1279.2,-3906.7,-446,314,262
-21.1,1134.7,-3700.3,887,292,156
-100.3,914.4,-3324.9,1980,-60,-29
-182.3,609.1,-2974.7,2828,-437,-181
-230.9,464.8,-2605.6,3508,-548,-154
-281.7,495.1,-2250.2,4003,-272,-35
-295.5,509.6,-2054.2,4285,2,-56
-239.5,588.5,-2023.7,4468,114,-99
-230.5,681.2,-1957.5,4831,135,-62
-264.6,749.4,-1748.0,5333,38,-83
-286.0,846.2,-1492.1,5823,-281,-251
-270.5,954.3,-1191.7,6329,-716,-543
-236.4,1018.7,-812.6,6801,-1090,-863
-163.4,1008.6,-414.7,7115,-1319,-1144
-75.0,954.0,1.0,7239,-1391,-1351
31.7,765.3,444.3,7055,-1177,-1397
130.5,555.8,794.3,6504,-674,-1122
177.1,449.2,1037.5,5714,-24,-603
174.7,542.4,1206.6,5070,371,-102
45.8,755.5,1204.0,4855,389,49
68.3,902.6,1197.7,5142,291,-302
215.5,724.4,1409.2,5630,52,-783
316.8,425.7,1770.1,6056,-582,-1114
322.8,11.6,2152.6,6162,-1271,-1294
301.5,-255.6,2707.7,5900,-1454,-1238
170.6,-470.4,2918.6,4930,-652,-753
55.5,-475.4,2717.6,3723,1028,11
1.1,-361.1,2275.5,2777,2395,597
-33.4,-254.1,1813.2,2555,2417,629
-0.6,-335.9,1750.7,2898,1282,145
41.2,-541.9,2065.8,3238,-96,-398
78.7,-717.7,2414.1,3168,-861,-660
76.5,-837.3,2562.7,2747,-737,-572
81.9,-917.6,2491.7,2180,-122,-270
39.5,-908.7,2312.0,1576,514,37
27.7,-839.0,1987.9,994,858,254
-24.5,-719.4,1686.7,624,989,437
-104.4,-632.9,1438.1,449,918,497
-154.5,-510.4,1242.2,466,618,388
-155.8,-489.7,1156.3,631,323,199
-114.3,-547.7,1196.7,750,57,21
-62.0,-580.0,1220.5,744,-205,-79
-39.2,-584.6,1229.2,683,-286,-75
-28.8,-584.9,1250.3,588,-199,-23
-38.3,-594.6,1260.5,409,-40,41
-45.4,-573.0,1205.0,196,105,124
