aX,aY,aZ,gX,gY,gZ
1148.8,-2083.9,-1838.9,-859,-1793,568
1537.2,-1949.9,-1634.9,-1284,-2320,1021
1824.6,-1587.0,-1361.3,-1514,-2679,1960
1934.4,-1053.3,-1034.1,-1418,-2787,3114
1818.2,-225.9,-663.4,-740,-2631,4321
1535.9,692.5,-367.0,383,-2111,5178
1369.0,1659.7,-31.6,1775,-1504,5336
1404.3,2704.6,624.4,2953,-35,7
184.7,-1271.8,2062.4,-265,176,-344
133.0,-1692.1,2246.9,-231,220,-656
-14.5,-1995.1,2336.5,-48,-19,-823
-243.3,-2088.4,2313.9,270,-335,-1005
-495.4,-1863.9,2153.2,582,-671,-1373
-648.4,-1446.7,1893.4,827,-863,-1947
-627.7,-913.7,1575.9,914,-891,-2555
-495.9,-316.7,1183.0,754,-849,-2852
-454.8,259.4,664.9,429,-938,-2684
-480.6,795.9,10.6,268,-1199,-2258
-531.8,1296.4,-604.4,497,-1541,-1785
-612.7,1787.7,-1135.0,1030,-1854,-1372
-542.8,2102.5,-1368.8,1799,-2166,-1157
-331.6,2461.2,-1284.8,2547,-2459,-1121
-51.1,2687.2,-864.6,3087,-2547,-1218
239.0,2957.9,-441.9,3066,-2309,-1285
468.6,3108.8,-74.3,2562,-1810,-1203
706.3,3014.4,210.2,1745,-1260,-960
836.2,2744.4,286.0,743,-827,-468
818.4,2304.9,143.2,-151,-516,110
700.4,1868.9,-82.7,-684,-192,603
485.9,1592.3,-249.0,-862,241,958
278.4,1466.7,-288.0,-873,694,1032
115.4,1454.2,-241.6,-879,1143,861
-15.5,1521.3,-198.6,-931,1625,613
-118.0,1574.4,-146.0,-1020,1980,410
-231.7,1645.4,-128.7,-1116,2093,358
-295.1,1660.7,-104.4,-1101,1993,433
-304.0,1646.5,-53.9,-1029,1812,573
-263.6,1561.2,55.4,-1023,1777,733
-273.9,1469.7,126.9,-1155,1891,895
-334.8,1329.4,161.9,-1300,2001,985
-325.9,1129.1,184.1,-1363,1978,993
-288.0,993.1,216.9,-1255,1922,1010
-235.2,880.7,328.7,-1025,1840,1062
-160.4,831.8,445.8,-836,1717,1150
-140.9,759.6,574.9,-696,1646,1224
-133.3,612.2,742.2,-581,1549,1285
-159.5,505.0,887.9,-530,1369,1314
-157.9,390.5,1014.4,-486,1149,1288
-144.0,285.5,1110.0,-457,960,1247
-150.3,188.2,1168.0,-430,773,1188
-137.5,87.7,1238.9,-410,628,1049
-71.9,-5.4,1286.9,-477,588,805
-39.2,-58.8,1262.0,-592,652,592
9.8,-198.6,1263.6,-568,610,526
31.6,-293.7,1237.3,-457,419,608
54.9,-390.2,1248.7,-235,222,780
66.5,-462.6,1308.8,-20,41,964
52.9,-491.7,1362.6,52,-71,1037
50.1,-523.5,1405.8,-7,-58,961
38.9,-522.9,1405.4,-194,61,786
0.1,-520.6,1365.4,-367,229,624
-17.8,-524.4,1334.1,-407,294,535
