aX,aY,aZ
-109.3,234.2,999.4
46.8,-46.8,999.4
124.9,-15.6,921.3
109.3,109.3,1046.3
156.2,-171.8,983.8
-78.1,46.8,1046.3
-249.9,-15.6,1030.7
0.0,15.6,937.0
109.3,140.5,937.0
249.9,-171.8,952.6
109.3,-187.4,1030.7
-78.1,109.3,999.4
-140.5,-109.3,983.8
-62.5,-78.1,890.1
78.1,171.8,937.0
249.9,-78.1,952.6
187.4,-62.5,999.4
-140.5,-109.3,999.4
-93.7,-124.9,1108.7
-93.7,93.7,968.2
0.0,-46.8,999.4
78.1,-31.2,890.1
140.5,124.9,1015.0
109.3,-140.5,1030.7
-78.1,31.2,1030.7
-234.2,93.7,1093.1
62.5,-62.5,1015.0
78.1,124.9,937.0
171.8,46.8,999.4
171.8,-203.0,1015.0
-15.6,109.3,1061.9
-234.2,-171.8,968.2
-78.1,15.6,952.6
109.3,140.5,890.1
203.0,-93.7,999.4
171.8,-140.5,1015.0
-93.7,15.6,1030.7
-171.8,-109.3,999.4
-156.2,46.8,890.1
46.8,109.3,968.2
265.5,-124.9,890.1
203.0,93.7,1046.3
-109.3,-187.4,952.6
-46.8,-124.9,1077.5
-124.9,234.2,905.7
0.0,31.2,937.0
62.5,-109.3,843.3
171.8,46.8,1015.0
203.0,-156.2,1015.0
-78.1,-31.2,937.0
-203.0,46.8,921.3
15.6,15.6,983.8
124.9,93.7,1015.0
187.4,-93.7,921.3
171.8,-171.8,1077.5
-15.6,15.6,968.2
-218.6,-124.9,983.8
-93.7,46.8,1030.7
62.5,78.1,983.8
249.9,-46.8,968.2
187.4,-62.5,1015.0
-109.3,-109.3,952.6
-62.5,-171.8,1155.6
-140.5,171.8,905.7
15.6,140.5,1030.7
187.4,-140.5,937.0
218.6,140.5,1015.0
15.6,-156.2,1077.5
-62.5,-46.8,1108.7
-124.9,203.0,952.6
15.6,15.6,983.8
93.7,-46.8,858.9
140.5,-46.8,1046.3
140.5,-109.3,968.2
-15.6,-46.8,1015.0
-234.2,78.1,999.4
78.1,-46.8,1015.0
140.5,62.5,921.3
171.8,-124.9,890.1
109.3,-203.0,1093.1
-46.8,140.5,999.4
-203.0,-156.2,1155.6
-109.3,0.0,890.1
93.7,78.1,937.0
187.4,-109.3,921.3
187.4,140.5,1015.0
-140.5,-140.5,968.2
-93.7,-109.3,1077.5
-78.1,109.3,952.6
0.0,-31.2,1046.3
109.3,-124.9,937.0
203.0,140.5,1046.3
-31.2,-156.2,1015.0
-109.3,-78.1,1046.3
-124.9,265.5,921.3
15.6,62.5,999.4
93.7,-62.5,858.9
140.5,-31.2,1015.0
187.4,-46.8,983.8
-31.2,31.2,1015.0
-171.8,31.2,952.6
-62.5,-78.1,1030.7
187.4,140.5,968.2
218.6,-124.9,968.2
124.9,-93.7,1030.7
15.6,15.6,952.6
-156.2,-171.8,1171.2
-124.9,140.5,999.4
140.5,109.3,1046.3
234.2,-46.8,890.1
156.2,15.6,1061.9
-78.1,-78.1,952.6
-62.5,-156.2,1171.2
-124.9,203.0,827.6
31.2,124.9,968.2
124.9,-109.3,905.7
171.8,171.8,952.6
15.6,-156.2,999.4
-62.5,-31.2,1061.9
-109.3,124.9,968.2
15.6,-31.2,937.0
78.1,62.5,968.2
124.9,-140.5,1093.1
171.8,-124.9,1030.7
-31.2,62.5,1015.0
-218.6,15.6,1015.0
-15.6,31.2,1077.5
124.9,31.2,937.0
203.0,-93.7,874.5
156.2,-234.2,1108.7
-93.7,78.1,983.8
-187.4,-140.5,1077.5
-124.9,46.8,858.9
78.1,140.5,999.4
218.6,-109.3,921.3
218.6,62.5,1015.0
-62.5,-218.6,921.3
-46.8,-124.9,1186.8
-62.5,140.5,905.7
0.0,-15.6,1046.3
93.7,0.0,874.5
