aX,aY,aZ
-15.6,62.5,1108.7
-265.5,-124.9,1046.3
-515.3,31.2,1171.2
-62.5,-93.7,1077.5
140.5,156.2,890.1
406.0,78.1,1030.7
374.8,0.0,812.0
156.2,-31.2,1140.0
-265.5,31.2,890.1
-406.0,-109.3,905.7
-124.9,-156.2,812.0
-46.8,0.0,905.7
452.9,-62.5,749.6
406.0,62.5,1015.0
312.3,-140.5,952.6
-15.6,46.8,1093.1
-265.5,-140.5,1343.0
-468.5,31.2,1155.6
-31.2,-62.5,1124.4
109.3,93.7,937.0
437.2,78.1,1046.3
374.8,15.6,812.0
109.3,-62.5,1124.4
-281.1,-46.8,827.6
-374.8,-124.9,843.3
-140.5,-156.2,999.4
-31.2,15.6,843.3
437.2,31.2,1046.3
421.6,78.1,921.3
296.7,-109.3,1280.5
-203.0,78.1,1171.2
-281.1,-93.7,1280.5
-327.9,0.0,1124.4
-46.8,-62.5,874.5
327.9,93.7,874.5
406.0,62.5,765.2
374.8,15.6,827.6
109.3,-31.2,1140.0
-265.5,-62.5,858.9
-390.4,-124.9,843.3
-124.9,-156.2,937.0
15.6,0.0,1124.4
437.2,-62.5,1093.1
421.6,62.5,968.2
296.7,-124.9,1202.4
-218.6,62.5,1124.4
-296.7,-109.3,1202.4
-296.7,-15.6,1124.4
-46.8,-62.5,827.6
312.3,93.7,687.1
406.0,31.2,827.6
374.8,0.0,827.6
124.9,-15.6,937.0
-296.7,-46.8,858.9
-374.8,-46.8,937.0
-140.5,-140.5,937.0
-31.2,-15.6,1093.1
437.2,31.2,1015.0
406.0,46.8,1140.0
156.2,-62.5,1249.3
-203.0,62.5,1171.2
-296.7,-93.7,1046.3
-296.7,0.0,812.0
-46.8,-62.5,874.5
312.3,78.1,905.7
406.0,15.6,812.0
327.9,31.2,858.9
124.9,-31.2,858.9
-265.5,-62.5,858.9
-390.4,-31.2,890.1
-124.9,-156.2,968.2
-46.8,0.0,874.5
468.5,-62.5,1124.4
421.6,62.5,937.0
296.7,-109.3,1249.3
-234.2,62.5,1124.4
-296.7,-109.3,1311.7
-327.9,0.0,1124.4
-46.8,-46.8,890.1
343.6,78.1,905.7
406.0,93.7,843.3
390.4,31.2,827.6
124.9,-31.2,1108.7
-281.1,-46.8,827.6
-390.4,-46.8,827.6
-109.3,-171.8,968.2
0.0,0.0,890.1
484.1,-62.5,843.3
406.0,78.1,952.6
359.2,-140.5,937.0
-31.2,62.5,1124.4
-265.5,-124.9,1061.9
-468.5,31.2,1218.0
-78.1,-46.8,1077.5
124.9,156.2,952.6
421.6,93.7,1015.0
390.4,15.6,858.9
156.2,-15.6,1140.0
-265.5,-46.8,858.9
-374.8,-93.7,858.9
-140.5,-171.8,812.0
-31.2,0.0,890.1
452.9,-46.8,812.0
406.0,46.8,952.6
281.1,-124.9,952.6
-31.2,62.5,1124.4
-265.5,-109.3,1264.9
-452.9,31.2,1202.4
-62.5,-46.8,1061.9
156.2,93.7,921.3
421.6,93.7,1046.3
374.8,0.0,843.3
140.5,-15.6,1093.1
-265.5,46.8,843.3
-421.6,-109.3,858.9
-140.5,-187.4,780.8
-62.5,-31.2,874.5
452.9,-62.5,1108.7
406.0,62.5,968.2
296.7,-109.3,1296.1
-249.9,62.5,1124.4
-296.7,-124.9,1311.7
-312.3,-15.6,1140.0
-62.5,-62.5,827.6
312.3,78.1,655.9
421.6,31.2,780.8
343.6,15.6,843.3
124.9,15.6,921.3
-249.9,-62.5,905.7
-390.4,-62.5,858.9
-156.2,-171.8,999.4
